,Duct Width##LENGTH##INCHES,Duct Height##LENGTH##INCHES,Min Flow##OTHER##,Max Flow##OTHER##
6x6,6,6,0,114
8x6,8,6,0,156
10x6,10,6,0,170
8x8,8,8,0,185
12x6,12,6,0,205
14x6,14,6,0,240
16x6,16,6,0,285
12x8,12,8,0,285
10x10,10,10,0,295
18x6,18,6,0,315
20x6,20,6,0,432
12x10,12,10,0,432
22x6,22,6,0,462
24x6,24,6,0,528
18x8,18,8,0,528
12x12,12,12,0,528
30x6,30,6,0,666
18x10,18,10,0,666
14x14,14,14,0,488
36x6,36,6,0,540
27x8,27,8,0,540
18x12,18,12,0,540
22x10,22,10,0,548
30x8,30,8,0,596
24x10,24,10,0,596
42x6,42,6,0,636
18x14,18,14,0,636
16x16,16,16,0,648
48x6,48,6,0,728
36x8,36,8,0,728
24x12,24,12,0,728
18x16,18,16,0,728
18x18,18,18,0,828
42x8,42,8,0,856
24x14,24,14,0,856
36x10,36,10,0,916
30x12,30,12,0,916
48x8,48,8,0,984
24x16,24,16,0,984
20x20,20,20,0,1028
36x12,36,12,0,1100
24x18,24,18,0,1100
48x10,48,10,0,1244
30x16,30,16,0,1244
24x20,24,20,0,1244
22x22,22,22,0,1256
42x12,42,12,0,1288
36x14,36,14,0,1288
24x22,24,22,0,1372
30x18,30,18,0,1400
48x12,48,12,0,1500
36x16,36,16,0,1500
24x24,24,24,0,1500
